,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange
82,60f17501cc96fb00089bf1ff,UJJIVANSFB,EQ,N,30.75,30.25,30.65,30.4,30.4,30.6,3184372,97106318.4,44.6,26.5,6792,INE551W01018,2021-07-16,2021-07-15T18:30:00.000Z,2021-07-16T12:01:05.032Z,2021-07-16T12:01:05.032Z,0,30.49,16-Jul-2021,
83,60f5695de089b0000849da2f,UJJIVANSFB,EQ,N,30.5,29.9,30.15,30.05,30.1,30.4,4178406,126020311.75,44.6,26.5,9597,INE551W01018,2021-07-19,2021-07-18T18:30:00.000Z,2021-07-19T12:00:29.345Z,2021-07-19T12:00:29.345Z,0,30.16,19-Jul-2021,
84,60f6bae1874e330008166d59,UJJIVANSFB,EQ,N,30.25,29.5,30.2,29.7,29.6,30.05,2911571,86683744.15,44.6,26.5,8891,INE551W01018,2021-07-20,2021-07-19T18:30:00.000Z,2021-07-20T12:00:33.922Z,2021-07-20T12:00:33.922Z,0,29.77,20-Jul-2021,
85,60f95dffcaa6960009720f13,UJJIVANSFB,EQ,N,30.2,29.7,30.0,29.75,29.8,29.7,2432996,72747522.05,44.6,26.5,5745,INE551W01018,2021-07-22,2021-07-21T18:30:00.000Z,2021-07-22T12:01:03.464Z,2021-07-22T12:01:03.464Z,0,29.9,22-Jul-2021,
86,60faaf80874e3300088b0be8,UJJIVANSFB,EQ,N,29.95,28.9,29.9,29.1,29.15,29.75,3561672,104402766.6,44.6,26.5,8254,INE551W01018,2021-07-23,2021-07-22T18:30:00.000Z,2021-07-23T12:01:04.982Z,2021-07-23T12:01:04.982Z,0,29.31,23-Jul-2021,
87,60fea3e25e75500008861c91,UJJIVANSFB,EQ,N,29.4,29.0,29.3,29.1,29.05,29.1,1791840,52310075.75,44.6,26.5,5459,INE551W01018,2021-07-26,2021-07-25T18:30:00.000Z,2021-07-26T12:00:34.516Z,2021-07-26T12:00:34.516Z,0,29.19,26-Jul-2021,
88,60fff57f3b69e400088b8bc8,UJJIVANSFB,EQ,N,29.85,29.0,29.25,29.1,29.1,29.1,2685690,78849055.85,44.6,26.5,6362,INE551W01018,2021-07-27,2021-07-26T18:30:00.000Z,2021-07-27T12:01:03.529Z,2021-07-27T12:01:03.529Z,0,29.36,27-Jul-2021,
89,610146ffa8ea98000873ce09,UJJIVANSFB,EQ,N,29.3,28.75,29.25,29.0,29.05,29.1,2020520,58587880.35,44.6,26.5,7363,INE551W01018,2021-07-28,2021-07-27T18:30:00.000Z,2021-07-28T12:01:03.501Z,2021-07-28T12:01:03.501Z,0,29.0,28-Jul-2021,
90,61029881ebb5b00008937fee,UJJIVANSFB,EQ,N,29.2,28.8,29.1,28.85,28.9,29.0,2139480,61861271.15,44.6,26.5,5931,INE551W01018,2021-07-29,2021-07-28T18:30:00.000Z,2021-07-29T12:01:05.143Z,2021-07-29T12:01:05.143Z,0,28.91,29-Jul-2021,
91,6103ea01ebb5b00008cf5617,UJJIVANSFB,EQ,N,29.2,28.75,28.8,28.8,28.8,28.85,1959647,56637862.75,44.6,26.5,5115,INE551W01018,2021-07-30,2021-07-29T18:30:00.000Z,2021-07-30T12:01:05.036Z,2021-07-30T12:01:05.036Z,0,28.9,30-Jul-2021,
92,609bc37fc132690009effff5,UJJIVANSFB,EQ,N,30.35,29.1,29.2,29.6,29.65,29.0,4217560,125143922.85,44.6,25.6,10778,INE551W01018,2021-05-12,2021-05-11T18:30:00.000Z,2021-05-12T12:01:03.343Z,2021-05-12T12:01:03.343Z,0,29.67,12-May-2021,
93,609e667f885aee00088f47b7,UJJIVANSFB,EQ,N,30.7,29.25,29.85,29.7,29.8,29.6,4270505,128509030.9,44.6,25.6,10043,INE551W01018,2021-05-14,2021-05-13T18:30:00.000Z,2021-05-14T12:01:03.760Z,2021-05-14T12:01:03.760Z,0,30.09,14-May-2021,
94,60a25afe4e61470008bbee89,UJJIVANSFB,EQ,N,30.5,30.0,30.1,30.15,30.25,29.7,2880787,86988701.1,44.6,25.6,6404,INE551W01018,2021-05-17,2021-05-16T18:30:00.000Z,2021-05-17T12:01:02.977Z,2021-05-17T12:01:02.977Z,0,30.2,17-May-2021,
95,60a3ac7ebcb6750008860f10,UJJIVANSFB,EQ,N,31.1,30.3,30.75,30.55,30.6,30.15,3913316,119888263.05,44.6,25.6,8721,INE551W01018,2021-05-18,2021-05-17T18:30:00.000Z,2021-05-18T12:01:02.705Z,2021-05-18T12:01:02.705Z,0,30.64,18-May-2021,
96,60a4fe001247b900089e38fd,UJJIVANSFB,EQ,N,30.0,28.7,30.0,29.6,29.65,30.55,7871487,232753129.55,44.6,25.6,16867,INE551W01018,2021-05-19,2021-05-18T18:30:00.000Z,2021-05-19T12:01:04.597Z,2021-05-19T12:01:04.597Z,0,29.57,19-May-2021,
97,60a64f7f9a1015000919d20a,UJJIVANSFB,EQ,N,30.4,29.25,29.25,29.95,30.0,29.6,3843010,115349059.7,44.6,25.6,11244,INE551W01018,2021-05-20,2021-05-19T18:30:00.000Z,2021-05-20T12:01:03.642Z,2021-05-20T12:01:03.642Z,0,30.02,20-May-2021,
98,60a7a0e0c7277a00086e382a,UJJIVANSFB,EQ,N,30.4,29.65,30.1,29.8,29.8,29.95,2539590,75932900.35,44.6,25.6,6790,INE551W01018,2021-05-21,2021-05-20T18:30:00.000Z,2021-05-21T12:00:32.899Z,2021-05-21T12:00:32.899Z,0,29.9,21-May-2021,
99,60ab957f03728a0009a359cb,UJJIVANSFB,EQ,N,30.45,29.8,30.45,30.0,30.0,29.8,2130205,63893926.7,44.6,26.05,5655,INE551W01018,2021-05-24,2021-05-23T18:30:00.000Z,2021-05-24T12:01:03.597Z,2021-05-24T12:01:03.597Z,0,29.99,24-May-2021,
100,60ace6fe3e1c550008766a4e,UJJIVANSFB,EQ,N,30.2,29.75,29.95,29.8,29.85,30.0,1855812,55468419.6,44.6,26.05,5352,INE551W01018,2021-05-25,2021-05-24T18:30:00.000Z,2021-05-25T12:01:02.765Z,2021-05-25T12:01:02.765Z,0,29.89,25-May-2021,
101,60ae3882e53e1c0008d9119a,UJJIVANSFB,EQ,N,30.3,29.8,30.0,29.9,29.95,29.8,2777606,83494154.95,44.6,26.05,5829,INE551W01018,2021-05-26,2021-05-25T18:30:00.000Z,2021-05-26T12:01:06.394Z,2021-05-26T12:01:06.394Z,0,30.06,26-May-2021,
