,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA,symChange
58,61320e7f4f4d7600089d8d1d,STLTECH,EQ,N,276.95,263.15,263.8,273.85,273.25,262.85,870845,236876394.5,318.0,139.25,17233,INE089C01029,2021-09-03,2021-09-02T18:30:00.000Z,2021-09-03T12:01:03.234Z,2021-09-03T12:01:03.234Z,0,272.01,03-Sep-2021,,
59,613602e366f15f00089e903f,STLTECH,EQ,N,284.0,272.6,275.9,274.8,274.0,273.85,1211180,337208110.3,318.0,139.25,25682,INE089C01029,2021-09-06,2021-09-05T18:30:00.000Z,2021-09-06T12:00:35.342Z,2021-09-06T12:00:35.342Z,0,278.41,06-Sep-2021,,
60,6137547eeb333d0008c0ed8f,STLTECH,EQ,N,276.3,269.0,274.0,272.6,273.0,274.8,345164,94083841.5,318.0,139.25,8280,INE089C01029,2021-09-07,2021-09-06T18:30:00.000Z,2021-09-07T12:01:02.814Z,2021-09-07T12:01:02.814Z,0,272.58,07-Sep-2021,,
61,6138a5dc5a558200095d3428,STLTECH,EQ,N,285.0,272.6,272.6,279.25,278.55,272.6,1411648,396463504.35,318.0,139.25,27278,INE089C01029,2021-09-08,2021-09-07T18:30:00.000Z,2021-09-08T12:00:28.180Z,2021-09-08T12:00:28.180Z,0,280.85,08-Sep-2021,,
62,6139f7679241480008a1a6b7,STLTECH,EQ,N,281.5,271.8,280.0,276.05,276.6,279.25,319286,87919041.75,318.0,139.25,7511,INE089C01029,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.569Z,2021-09-09T12:00:39.569Z,0,275.36,09-Sep-2021,,
63,60d07f80b6df770008f30506,STLTECH,EQ,N,271.6,256.0,256.0,268.3,268.05,264.8,344549,90693338.6,280.0,107.7,7345,INE089C01029,2021-06-21,2021-06-20T18:30:00.000Z,2021-06-21T12:01:04.925Z,2021-06-21T12:01:04.925Z,0,263.22,21-Jun-2021,,
64,60d1d0e39d5cc50008707214,STLTECH,EQ,N,272.5,263.2,266.65,269.55,269.15,268.3,514207,138311447.55,280.0,107.7,13042,INE089C01029,2021-06-22,2021-06-21T18:30:00.000Z,2021-06-22T12:00:35.045Z,2021-06-22T12:00:35.045Z,0,268.98,22-Jun-2021,,
65,60d3227e09721b0008101300,STLTECH,EQ,N,271.6,262.6,270.5,264.0,266.0,269.55,298951,79531710.6,280.0,107.7,7075,INE089C01029,2021-06-23,2021-06-22T18:30:00.000Z,2021-06-23T12:01:02.870Z,2021-06-23T12:01:02.870Z,0,266.04,23-Jun-2021,,
66,60d473e3b6726400082d865b,STLTECH,EQ,N,268.35,263.25,264.0,265.1,265.55,264.0,298071,79194077.0,280.0,107.7,4777,INE089C01029,2021-06-24,2021-06-23T18:30:00.000Z,2021-06-24T12:00:35.494Z,2021-06-24T12:00:35.494Z,0,265.69,24-Jun-2021,,
67,60d5c561761eef0008b8345d,STLTECH,EQ,N,268.0,261.0,268.0,264.9,265.5,265.1,368212,97343164.4,280.0,107.7,7994,INE089C01029,2021-06-25,2021-06-24T18:30:00.000Z,2021-06-25T12:00:33.161Z,2021-06-25T12:00:33.161Z,0,264.37,25-Jun-2021,,
