,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange,CA
25,615c3e661728530008f0ae3e,ASALCBR,EQ,N,488.0,446.55,453.0,472.55,473.8,445.95,469464,217611612.35,516.0,236.65,17328,INE073G01016,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:38.071Z,2021-10-05T12:00:38.071Z,0,463.53,05-Oct-2021,,
26,615d8fe27c2c3b00089ffe07,ASALCBR,EQ,N,515.75,478.0,478.9,485.95,485.95,472.55,702246,348264705.55,516.0,236.65,27540,INE073G01016,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:34.203Z,2021-10-06T12:00:34.203Z,0,495.93,06-Oct-2021,,
27,615ee161c7aa980008977f5c,ASALCBR,EQ,N,505.0,492.0,493.9,495.05,496.0,485.95,199452,99241365.35,516.0,236.65,9014,INE073G01016,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:33.843Z,2021-10-07T12:00:33.843Z,0,497.57,07-Oct-2021,,
28,616032ff31c1ce0008cb02a2,ASALCBR,EQ,N,558.9,490.0,501.0,546.15,542.2,495.05,724886,385907628.5,558.9,236.65,37997,INE073G01016,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:03.262Z,2021-10-08T12:01:03.262Z,0,532.37,08-Oct-2021,,
29,61644a8c1ffdf40008ba3de0,ASALCBR,EQ,N,580.0,548.4,550.9,561.55,563.0,546.15,386858,219030212.95,580.0,236.65,24149,INE073G01016,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:36.673Z,2021-10-11T14:30:36.673Z,0,566.18,11-Oct-2021,,
30,616578ff60745c00089373a2,ASALCBR,EQ,N,642.7,551.45,561.9,633.85,635.8,561.55,875907,530086682.95,642.7,236.65,36368,INE073G01016,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:03.430Z,2021-10-12T12:01:03.430Z,0,605.19,12-Oct-2021,,
31,6166ca6573e7b00008258d94,ASALCBR,EQ,N,653.65,605.45,639.6,610.95,606.2,633.85,428961,268426014.7,653.65,236.65,30136,INE073G01016,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:37.911Z,2021-10-13T12:00:37.911Z,0,625.76,13-Oct-2021,,
32,61681bff03a7b2000873dfb9,ASALCBR,EQ,N,628.4,582.2,612.6,595.05,594.4,610.95,144845,87042502.1,653.65,236.65,8954,INE073G01016,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:03.616Z,2021-10-14T12:01:03.616Z,0,600.94,14-Oct-2021,,
33,616d61e281039a0008f762d3,ASALCBR,EQ,N,620.0,587.7,594.4,598.55,598.0,595.05,107437,64698405.2,653.65,236.65,7140,INE073G01016,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:34.539Z,2021-10-18T12:00:34.539Z,0,602.2,18-Oct-2021,,
34,616eb37f2137b10008e72f67,ASALCBR,EQ,N,603.0,555.0,603.0,564.8,566.85,598.55,113389,65715971.3,653.65,236.65,7164,INE073G01016,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.226Z,2021-10-19T12:01:03.226Z,0,579.56,19-Oct-2021,,
